UniqueIdentifier,Bank,Date,Amount
bca-6f9ef33a19410478d08d4f4f7d46577f,bca,2025-03-08,-89000
bca-454c2e03fd46d7b83a25ffcc7d8c3f36,bca,2025-03-14,18400
bca-1fba5239ead6ea9c36c02e00567c5190,bca,2025-03-10,-37900
bca-c9f61e076a3a79c2706951a9c9e28c46,bca,2025-03-14,95400
bca-931a24d894b7d0c0c129ef8cfe99a9a8,bca,2025-03-13,95000
bca-347e2c9d6d2b0fdf030c99758ec0b44b,bca,2025-03-13,-1200
bca-5b88a2996bd30408927b4b0ae228c129,bca,2025-03-09,-57800
bca-c917afd58a1144dd1bfee7987af71260,bca,2025-03-14,71200
bca-f84c56045bd840bca9bce269b715b169,bca,2025-03-04,-27100
bca-b13bc81e029d165d4fb511cd71c56bf3,bca,2025-03-14,52800
bca-2f9849db23ec2e7f33ecb0ef601e45fd,bca,2025-03-12,-4300
bca-df6e2528bf4463d423b7e7b0f458d087,bca,2025-03-04,-13500
bca-457cffb1ddccbc185904b179df336dc8,bca,2025-03-07,32400
bca-26c9a1f0c1de69a80d2451fd45fcd013,bca,2025-03-14,-24600
bca-fe69c307437ac0ef965b9d01b656fe54,bca,2025-03-14,-53900
bca-eaade119fa88b198ae51dcd8903f0b33,bca,2025-03-14,37600
bca-0081420f6d04716b6bee395982559d1e,bca,2025-03-13,-99100
bca-e1c819596d11ff48847c2815e39ccd16,bca,2025-03-11,52300
bca-2a0c41144696f0ed2e367f4a2ff728ea,bca,2025-03-04,6800
bca-c5af92d165d1b6a5407a53bfea30821b,bca,2025-03-10,-96800
bca-2cfc53a05cf37999b121b77bd1d70e59,bca,2025-03-12,-18900
bca-64b7f09203790ace0d1a86fde5930a53,bca,2025-03-04,-60800
bca-e61230d9f71389ca15177912bad4c115,bca,2025-03-14,80000
bca-8cae2bf22b1e24468a391a1c468e4177,bca,2025-03-10,14700
bca-de5f80d55eceee9b145e9aad49e6520b,bca,2025-03-09,-41100
bca-c7a2da0d33044b4c003497f9a9ed2658,bca,2025-03-05,90300
bca-5560dc88c44fdc0801743ca1917e1594,bca,2025-03-09,-26600
bca-bead940dd0b80ca849542274d796f8fd,bca,2025-03-14,42600
bca-cb6e0d5fa17dedd1a1303e07c05b5db2,bca,2025-03-12,-15500
bca-49e43b8fd984f9438cc775d457ddd4b2,bca,2025-03-09,-28900
bca-067ca001dd997e5ef563f0bc022b4861,bca,2025-03-10,68400
bca-fb1b9db91569a505afb452d3b3b05b85,bca,2025-03-08,-34100
bca-20ed7aa90885fa0be0cc6c4af6dcd9d3,bca,2025-03-09,-23600
bca-331f013c738d15aea7246e000318bd92,bca,2025-03-10,-8700
bca-97fe0fbb2f10f1a6c9e1ac1874309c32,bca,2025-03-14,-28400
bca-a68547c7289fc7dc075f14aee5c1b7e7,bca,2025-03-12,-83300
bca-d0b341adb84ea18a8b58bed9c5a6819f,bca,2025-03-05,98300
bca-58f5fba53ee0d2851cebfa31eeb0c7aa,bca,2025-03-08,53000
bca-8b6fe9c53903c56d96811d43d92e48ba,bca,2025-03-05,74400
bca-e9bd34b75270b9fb3cc4f92ec89490a4,bca,2025-03-13,51400
bca-4bbfc2e64c8e0342ab4a56bf4192fea7,bca,2025-03-09,32800
bca-c0e13bf1ba822d32ed3737992cbbff28,bca,2025-03-10,59600
bca-a86c0192546e0ddb13405724005435d5,bca,2025-03-05,-87800
bca-bd6b7336bfd26099719468efccac1a99,bca,2025-03-10,61000
bca-008b21ee2538f3c1826192bf06b1ed1a,bca,2025-03-14,76600
bca-2f0e27ba3d30ef4fe990915b313f9ea8,bca,2025-03-10,-89100
bca-6e9398e97935da5f0313ef132f517eac,bca,2025-03-14,4600
bca-98ce47b052e9158e91540fb2f2ccaa12,bca,2025-03-06,-66900
bca-c6d32458582c3a0cc7f35faa8e11f86e,bca,2025-03-04,-69400
bca-d363d41b1132d77965d6b7665e31d9ce,bca,2025-03-13,82700
bca-00e1dc26ad65bcd50bc67e3ce3b7c178,bca,2025-03-09,15400
bca-44ea2b0c4a11c37dfab3e98b6df0237e,bca,2025-03-09,35300
bca-875934ea5100c33323763af04bd154cf,bca,2025-03-07,35900
bca-fefecc6fd370547fd9fc5b8a3f90c09b,bca,2025-03-12,-86300
bca-4e38b87b4039f85b137d8a6f760e1059,bca,2025-03-08,59800
bca-2e8b58f25f0947d70a777c4c76b5ad0a,bca,2025-03-07,64600
bca-789348f31364774d606cbad285bbdc39,bca,2025-03-09,42000
bca-49854baae1ba4cb1ee68f3d6fff7e9fc,bca,2025-03-10,19700
bca-39209fd51ec89941ada47bb449500462,bca,2025-03-14,36800
bca-267f9ce284637c4c5288b5dabdf11c0a,bca,2025-03-14,-7400
bca-5b6ecac71ab0505158b6e62a36bc68a5,bca,2025-03-12,-1200
bca-a99725d7ecc0eb257913d7d22728c654,bca,2025-03-05,-58300
bca-52e9359185cad4fef3e29932255b60b0,bca,2025-03-08,-42300
bca-8c1f7728054230410a9cccac49c328ee,bca,2025-03-04,69800
bca-37ed009921602256fb5c4394df756d60,bca,2025-03-14,22600
bca-4cf6a5db96c15be9288d6ad5949b4bf3,bca,2025-03-12,55600
bca-fa3644b87506ced41a8099a8d2d019a1,bca,2025-03-12,-26500
bca-85e455fd02f0b1d57da11853c93b4709,bca,2025-03-04,61200
bca-8bf8924c966663dc2aff2d27e5a3640d,bca,2025-03-08,6500
bca-761c2fb789b6e429c9f70fe3d1d6fc15,bca,2025-03-11,46200
bca-28680a5a1aae629a7d1220518b6760d1,bca,2025-03-09,54700
bca-8b5a95cadb1c15e7e10521e02d98de11,bca,2025-03-08,-67300
bca-e58160143fcc5575c12f020ba29a9b15,bca,2025-03-08,-51800
bca-b4d219aea767512bd6d7e86f1a714b4d,bca,2025-03-13,-45300
bca-f98373bf35f5fbcdc08e33975829f7d5,bca,2025-03-13,11000
bca-542a3841d4540aa536296a91bebc5eb7,bca,2025-03-13,-88400
bca-500a202998ea2326d773d61a5f58fe05,bca,2025-03-07,-59300
bca-7b9843046ad8846729185d4ed2e0f573,bca,2025-03-08,-29100
bca-9db33dde357871afb5b6b8680531a739,bca,2025-03-08,-87600
bca-c807fc78a6eb9916b5497ddfcee9a986,bca,2025-03-09,-15100
bca-075d43e8883d111f1a4bd0517ff797d2,bca,2025-03-14,-56200
bca-23bdfa05ee07cb36b27340c9f7776f5e,bca,2025-03-07,44300
bca-2d348a20afdfe7dec2870d724450206b,bca,2025-03-10,-11200
bca-aadb8e5c961919c7228a80b541bb0041,bca,2025-03-05,12600
bca-dda247be73b2f609f68fc901c3d8a2ea,bca,2025-03-05,26800
bca-45c4e57dae321c05aca73aa82db8e5e8,bca,2025-03-13,97500
